N,f_sq,n_inter,continuous,npred_red,npred_full,rsq_full,beta,beta1,beta2,beta3,int1,int2,int3,three_way
500,0,1,1,2,3,0.104,0,0.2,0.2,0,0,0,0,0
1000,0,1,1,2,3,0.104,0,0.2,0.2,0,0,0,0,0
2000,0,1,1,2,3,0.104,0,0.2,0.2,0,0,0,0,0
500,0.002,1,1,2,3,0.105788423,0.040506236,0.2,0.2,0,0.040506236,0,0,0
1000,0.002,1,1,2,3,0.105788423,0.040506236,0.2,0.2,0,0.040506236,0,0,0
2000,0.002,1,1,2,3,0.105788423,0.040506236,0.2,0.2,0,0.040506236,0,0,0
500,0.01,1,1,2,3,0.112871287,0.090215273,0.2,0.2,0,0.090215273,0,0,0
1000,0.01,1,1,2,3,0.112871287,0.090215273,0.2,0.2,0,0.090215273,0,0,0
2000,0.01,1,1,2,3,0.112871287,0.090215273,0.2,0.2,0,0.090215273,0,0,0
500,0.02,1,1,2,3,0.121568627,0.126956712,0.2,0.2,0,0.126956712,0,0,0
1000,0.02,1,1,2,3,0.121568627,0.126956712,0.2,0.2,0,0.126956712,0,0,0
2000,0.02,1,1,2,3,0.121568627,0.126956712,0.2,0.2,0,0.126956712,0,0,0
500,0,2,1,3,5,0.104,0,0.147196014,0.147196014,0.147196014,0,0,0,0
1000,0,2,1,3,5,0.104,0,0.147196014,0.147196014,0.147196014,0,0,0,0
2000,0,2,1,3,5,0.104,0,0.147196014,0.147196014,0.147196014,0,0,0,0
500,0.002,2,1,3,5,0.105788423,0.024580419,0.147196014,0.147196014,0.147196014,0.024580419,0.024580419,0,0
1000,0.002,2,1,3,5,0.105788423,0.024580419,0.147196014,0.147196014,0.147196014,0.024580419,0.024580419,0,0
2000,0.002,2,1,3,5,0.105788423,0.024580419,0.147196014,0.147196014,0.147196014,0.024580419,0.024580419,0,0
500,0.01,2,1,3,5,0.112871287,0.054745378,0.147196014,0.147196014,0.147196014,0.054745378,0.054745378,0,0
1000,0.01,2,1,3,5,0.112871287,0.054745378,0.147196014,0.147196014,0.147196014,0.054745378,0.054745378,0,0
2000,0.01,2,1,3,5,0.112871287,0.054745378,0.147196014,0.147196014,0.147196014,0.054745378,0.054745378,0,0
500,0.02,2,1,3,5,0.121568627,0.077041204,0.147196014,0.147196014,0.147196014,0.077041204,0.077041204,0,0
1000,0.02,2,1,3,5,0.121568627,0.077041204,0.147196014,0.147196014,0.147196014,0.077041204,0.077041204,0,0
2000,0.02,2,1,3,5,0.121568627,0.077041204,0.147196014,0.147196014,0.147196014,0.077041204,0.077041204,0,0
500,0,4,1,3,7,0.104,0,0.147196014,0.147196014,0.147196014,0,0,0,0
1000,0,4,1,3,7,0.104,0,0.147196014,0.147196014,0.147196014,0,0,0,0
2000,0,4,1,3,7,0.104,0,0.147196014,0.147196014,0.147196014,0,0,0,0
500,0.002,4,1,3,7,0.105788423,0.003947912,0.147196014,0.147196014,0.147196014,0.003947912,0.003947912,0.003947912,0.003947912
1000,0.002,4,1,3,7,0.105788423,0.003947912,0.147196014,0.147196014,0.147196014,0.003947912,0.003947912,0.003947912,0.003947912
2000,0.002,4,1,3,7,0.105788423,0.003947912,0.147196014,0.147196014,0.147196014,0.003947912,0.003947912,0.003947912,0.003947912
500,0.01,4,1,3,7,0.112871287,0.016306392,0.147196014,0.147196014,0.147196014,0.016306392,0.016306392,0.016306392,0.016306392
1000,0.01,4,1,3,7,0.112871287,0.016306392,0.147196014,0.147196014,0.147196014,0.016306392,0.016306392,0.016306392,0.016306392
2000,0.01,4,1,3,7,0.112871287,0.016306392,0.147196014,0.147196014,0.147196014,0.016306392,0.016306392,0.016306392,0.016306392
500,0.02,4,1,3,7,0.121568627,0.027908821,0.147196014,0.147196014,0.147196014,0.027908821,0.027908821,0.027908821,0.027908821
1000,0.02,4,1,3,7,0.121568627,0.027908821,0.147196014,0.147196014,0.147196014,0.027908821,0.027908821,0.027908821,0.027908821
2000,0.02,4,1,3,7,0.121568627,0.027908821,0.147196014,0.147196014,0.147196014,0.027908821,0.027908821,0.027908821,0.027908821
